,text,favourite_count,retweet_count,created_at
0,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:59:39
1,RT @CelesteSaenzM: @fisgonmonero : “El mundo vive un CAMBIO DE ÉPOCA” “Surgen gobiernos de salvación nacional” La realidad aplasta hoy al n…,0,29,2022-06-20 23:58:55
2,Rechaza que sean instructores de vuelo: Gobierno de #Paraguay vincula a #pilotos del vuelo venezolano-iraní  con el #terrorismo https://t.co/60ypg582CL https://t.co/CBjSJLEcIp,1,1,2022-06-20 23:58:42
3,RT @CelesteSaenzM: @fisgonmonero : “El mundo vive un CAMBIO DE ÉPOCA” “Surgen gobiernos de salvación nacional” La realidad aplasta hoy al n…,0,29,2022-06-20 23:57:52
4,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:57:22
5,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:56:27
6,"RT @RevistaPLUSPY: Noticias destacadas de economía y finanzas del lunes 20 de junio de 2022

Más info en: https://t.co/8vRJP0pnZ6📌

#Paragu…",0,2,2022-06-20 23:54:18
7,"Lula sacó de la extrema pobreza a millones, pero no se salvó de la corrupción #lavajato
Bolsonaro, otro gobierno corrupto. En #Paraguay igual: Nicanor, Lugo, Franco, Cartes, Marito solo mejoraron la economía de sus parientes, funcionarios públicos y contratistas del Estado 😒",2,0,2022-06-20 23:48:02
8,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:44:58
9,"RT @SaraMorenoPy: Hoy en #Paraguay:
📌8:30 Se daría sentencia en el juicio del excomandante Francisco Alvarenga y su esposa Mirta Rotela, pr…",0,1,2022-06-20 23:42:53
10,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:40:34
11,"Noticias destacadas de economía y finanzas del lunes 20 de junio de 2022

Más info en: https://t.co/lY7ilH9gTU    

#Paraguay #RevistaPLUSpy #Portada #16añosPLUS https://t.co/XNOXE8kpw1",1,0,2022-06-20 23:38:09
12,Dragon Ball Super Manga 85 RESUMEN COMPLETO | Goku despliega su PROPIO U... https://t.co/AKCInl5iC2 #Argentina #Bahamas #Barbados #Brasil #Chile #Colombia #CostaRica #Cuba #Dominicana #ElSalvador #Granada #Guatemala #Guyana #Honduras #Jamaica #Mexico #Nicaragua #Panama #Paraguay,0,0,2022-06-20 23:38:06
13,"Te invito a conocer 20 destinos imprescindibles de Suramérica.

https://t.co/QFKT2yXNmn

#JorgeUrenda  #Chile #Bolivia #Argentina #Uruguay #Venezuela #Colombia #Ecuador #Paraguay #Perú #Brasil https://t.co/wK2JEaJpZ7",0,0,2022-06-20 23:35:34
14,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:34:31
15,"RT @ander_deporte33: Ojo que por allí viene el Chila @JoseLChilavert_ apuesta de frente al trabajo y la producción en #Paraguay 

El candid…",0,20,2022-06-20 23:31:59
16,"RT @AktbLatam: 🎉🎉¡¡Volvimos!! 🎉🎉
.
Y esta vez, con un TIP AKTB sobre el uso de redes sociales. 👩‍💻🧑‍💻👨‍💻
.
#AKTBLatam #Uruguay #Paraguay #A…",0,2,2022-06-20 23:31:50
17,"RT @AktbLatam: ✨ Tip AKTB ✨

El cliente es lo más importante siempre 🙌🙌

#AKTBLatam #Uruguay #Chile #Paraguay #Argentina #Colombia #Ecuador…",0,1,2022-06-20 23:31:20
18,EUA DESCARADO! COPIA AL PIE DE LA LETRA PLAN GASOLINERO DE AMLO. ARDEN J... https://t.co/40Umr08pJa #Argentina #Bahamas #Barbados #Brasil #Chile #Colombia #CostaRica #Cuba #Dominicana #ElSalvador #Granada #Guatemala #Guyana #Honduras #Jamaica #Mexico #Nicaragua #Panama #Paraguay,0,0,2022-06-20 23:28:51
19,"@UNOPS_es #Paraguay .....váyanse de Paraguay, uds son los q hunden al país , detrás de ong de eeuu.",0,0,2022-06-20 23:28:50
20,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:27:38
21,RT @CelesteSaenzM: @fisgonmonero : “El mundo vive un CAMBIO DE ÉPOCA” “Surgen gobiernos de salvación nacional” La realidad aplasta hoy al n…,0,29,2022-06-20 23:24:02
22,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:22:41
23,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:21:48
24,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:20:13
25,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:17:30
26,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:16:01
27,Cancelan el show de Christian Nodal en La Paz por incumplimiento de contrato https://t.co/I5ZpxYJADD  #uruguay #argentina #Chile #Brasil #peru #uruguay #paraguay #Guatemala  #NoticiaConJuanRmz #USA #Barcelona #Madrid #Puebla #Canada #Bilbao #mexicocity #chihuahua #coahuila,0,0,2022-06-20 23:12:40
28,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:11:18
29,"RT @AndAtzx: 🔰 UN MILLONARIO QUERÍA NIEVE EN SU FIESTA, PERO INICIÓ UNA CATÁSTROFE | ... https://t.co/HfCygWy89x #Argentina #Bahamas #Barba…",0,1,2022-06-20 23:10:43
30,RT @AndAtzx: VENCEN LOS RUSOS! SUECIA Y FINLANDIA NO ESTARÁN EN LA OTAN. IMPORTANTE A... https://t.co/7sVADd1vo6 #Argentina #Bahamas #Barba…,0,1,2022-06-20 23:10:34
31,"RT @UPAlemana: En la UPA, traemos Alemania a nuestros estudiantes a
través de actividades culturales y académicas. 🇩🇪🇵🇾

UPA. Para los que…",0,1,2022-06-20 23:09:28
32,"🔰 UN MILLONARIO QUERÍA NIEVE EN SU FIESTA, PERO INICIÓ UNA CATÁSTROFE | ... https://t.co/HfCygWy89x #Argentina #Bahamas #Barbados #Brasil #Chile #Colombia #CostaRica #Cuba #Dominicana #ElSalvador #Granada #Guatemala #Guyana #Honduras #Jamaica #Mexico #Nicaragua #Panama #Paraguay",0,1,2022-06-20 23:08:45
33,VENCEN LOS RUSOS! SUECIA Y FINLANDIA NO ESTARÁN EN LA OTAN. IMPORTANTE A... https://t.co/7sVADd1vo6 #Argentina #Bahamas #Barbados #Brasil #Chile #Colombia #CostaRica #Cuba #Dominicana #ElSalvador #Granada #Guatemala #Guyana #Honduras #Jamaica #Mexico #Nicaragua #Panama #Paraguay,0,1,2022-06-20 23:07:58
34,¿Netflix está cerca de oficializar la temporada 3 de Mindhunter? https://t.co/wHBIkVOCE3  #uruguay #argentina #Chile #Brasil #peru #uruguay #paraguay #Guatemala #JRTeInforma #NoticiaConJuanRmz #USA #Barcelona #Madrid #Puebla #Canada #Bilbao #mexicocity #chihuahua #coahuila,0,0,2022-06-20 23:07:15
35,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:05:45
36,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:05:40
37,"RT @teleSURtv: El sector de camioneros de #Paraguay🇵🇾, reactivaron este lunes sus movilizaciones para intentar conseguir una solución frent…",0,11,2022-06-20 23:04:28
38,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:03:55
39,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:03:06
40,"RT @ander_deporte33: Ojo que por allí viene el Chila @JoseLChilavert_ apuesta de frente al trabajo y la producción en #Paraguay 

El candid…",0,20,2022-06-20 23:01:30
41,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,159,2022-06-20 23:01:04
42,"RT @esperanza_py: Con el pueblo vamos a construir la UNIDAD, la #Esperanza y un país con derechos. Un #Paraguay donde quepamos todas y todo…",0,31,2022-06-20 23:00:41
43,"#CHACO: #AlturaDeRíos: El #Paraná Y El #Paraguay Mantienen La #Tendencia #Descendente
 #NoticiasDelParana    https://t.co/nt8OvgOgxP",0,0,2022-06-20 23:00:35
44,RT @UNOPS_es: #Paraguay: Un proyecto de huertas familiares está ayudando a mejorar la seguridad alimentaria y a empoderar económicamente a…,0,179,2022-06-20 23:00:21
